date,open,high,low,close,volume
2022-08-16,169.62,170.53,168.52,169.86,56377100
2022-08-17,169.61,172.92,169.41,171.35,79542000
2022-08-18,170.57,171.7,169.95,170.96,62290100
2022-08-19,169.86,170.56,168.17,168.38,70346300
2022-08-22,166.58,166.75,164.08,164.5,69026800
2022-08-23,164.02,165.62,163.6,164.17,54147100
2022-08-24,164.26,165.03,163.2,164.46,53841500
2022-08-25,165.69,167.02,165.27,166.92,51218200
2022-08-26,167.45,167.92,160.56,160.62,78961000
2022-08-29,158.2,159.92,156.89,158.42,73314000
2022-08-30,159.16,159.58,154.83,156.0,77906200
2022-08-31,157.37,157.64,154.26,154.34,87991100
2022-09-01,153.77,155.52,151.84,155.07,74229900
2022-09-02,156.82,157.42,152.13,152.96,76957800
2022-09-06,153.6,154.21,150.87,151.7,73714800
2022-09-07,151.98,153.8,150.8,153.1,87449600
2022-09-08,151.81,153.5,149.88,151.63,84923800
2022-09-09,152.62,154.93,151.92,154.49,68028800
2022-09-12,156.67,161.25,156.38,160.44,104956000
2022-09-13,156.97,157.6,150.56,151.02,122656600
2022-09-14,151.95,154.22,150.8,152.47,87965400
2022-09-15,151.82,152.4,148.61,149.58,90481100
2022-09-16,148.44,148.58,145.65,147.94,162278800
2022-09-19,146.58,151.73,146.37,151.65,81474200
2022-09-20,150.59,155.18,150.28,154.03,107689800
2022-09-21,154.46,155.83,150.79,150.9,101696800
2022-09-22,149.59,151.64,148.15,149.94,86652500
2022-09-23,148.42,148.7,145.84,147.67,96029900
2022-09-26,146.92,150.95,146.9,148.01,93339400
2022-09-27,149.94,151.89,147.2,148.98,84442700
2022-09-28,144.94,147.88,142.19,147.1,146691400
2022-09-29,143.42,144.03,138.1,139.87,128138200
2022-09-30,138.69,140.48,135.47,135.67,124925300
2022-10-03,135.68,140.45,135.17,139.84,114311700
2022-10-04,142.37,143.54,141.62,143.42,87830100
2022-10-05,141.43,144.68,140.39,143.72,79471000
2022-10-06,143.14,144.84,142.56,142.77,68402200
2022-10-07,139.93,140.48,136.9,137.52,85925600
2022-10-10,137.85,139.29,136.03,137.85,74899000
2022-10-11,137.34,138.76,135.69,136.43,77033700
2022-10-12,136.58,137.79,135.63,135.81,70433700
2022-10-13,132.52,140.96,131.91,140.37,113224000
2022-10-14,141.67,141.87,135.66,135.85,88598000
2022-10-17,138.49,140.28,137.7,139.8,85250900
2022-10-18,142.83,144.01,138.03,141.12,99136600
2022-10-19,139.09,142.29,138.91,141.22,61758300
2022-10-20,140.4,143.22,140.04,140.76,64522000
2022-10-21,140.25,145.14,140.04,144.57,86548600
2022-10-24,144.49,147.48,143.33,146.71,75981900
2022-10-25,147.34,149.7,146.62,149.55,74732300
2022-10-26,148.19,149.21,145.33,146.61,88194300
2022-10-27,145.36,146.32,141.49,142.15,109180200
2022-10-28,145.49,154.61,145.11,152.89,164762400
2022-10-31,150.35,151.41,149.14,150.53,97943200
2022-11-01,152.24,152.6,146.4,147.89,80379300
2022-11-02,146.22,149.38,142.34,142.37,93604600
2022-11-03,139.46,140.18,136.21,136.34,97918500
2022-11-04,139.72,140.29,132.14,136.07,140814800
2022-11-07,134.82,136.83,133.41,136.6,83374600
2022-11-08,138.07,139.07,135.2,137.17,89908500
2022-11-09,136.19,136.24,132.34,132.62,74917800
2022-11-10,138.88,144.42,137.17,144.42,118854000
2022-11-11,143.39,147.51,141.96,147.2,93979700
2022-11-14,146.48,147.77,144.97,145.81,73374100
2022-11-15,149.68,151.03,146.08,147.54,89868300
2022-11-16,146.64,147.37,144.83,146.31,64218300
2022-11-17,143.99,148.95,143.71,148.2,80389400
2022-11-18,149.77,150.15,147.47,148.77,74829600
